Datetime,c0,h0,l0,o0,v0,abs(c0-o0)/abs(h0-l0),(c0-c1)/atr14,c0-c1,Spread,(h0-c0)/(h0-l0),(h0-o0)/(h0-l0),(l0-c0)/(h0-l0),(l0-o0)/(h0-l0),atr14,ema20,bb20dev2_upper,bb20dev2_lower,close_ratio,price_return,volume_change_ratio,bb20dev2_width,ema20_slope,rsi14,ema100,ema200,body_atr14_ratio,close_above_ema20,rsi14_overbought,rsi14_oversold,price_breaks_upper_bb20dev2,price_breaks_lower_bb20dev2,Profit
2019.03.05 17:55,25818.680000,25854.680000,25813.680000,25850.680000,8285.000000,0.859504,-1.285796,-32.200000,-0.020000,0.878049,0.097561,-0.121951,-0.902439,25.042857,25818.526491,25870.997596,25736.662404,0.998754,-0.001246,0.412617,0.005203,0.000363,59.684398,25847.667115,0.000000,1.277809,1.000000,0.000000,0.000000,0.000000,0.000000,-10.260000
2019.03.06 06:40,25782.760000,25785.560000,25776.560000,25779.360000,1825.000000,0.500000,0.523077,3.400000,-0.020000,0.311111,0.688889,-0.688889,-0.311111,6.500000,25772.816374,25782.010775,25753.609225,1.000132,0.000132,0.011080,0.001102,0.000069,57.366956,25792.760614,0.000000,0.523077,1.000000,0.000000,0.000000,1.000000,0.000000,4.450000
2019.03.07 19:05,25540.010000,25549.810000,25532.810000,25543.210000,7205.000000,0.043478,-0.126000,-3.600000,-0.020000,0.576471,0.388235,-0.423529,-0.611765,28.571429,25485.551137,25537.400267,25414.939733,0.999859,-0.000141,-0.150854,0.004805,0.000502,67.456577,25535.007248,0.000000,0.112000,1.000000,0.000000,0.000000,1.000000,0.000000,-33.660000
2019.03.08 20:55,25404.180000,25413.380000,25374.180000,25374.180000,6825.000000,0.369048,1.785714,30.000000,-0.020000,0.234694,1.000000,-0.765306,0.000000,16.800000,25336.299060,25370.971422,25286.108578,1.001182,0.001182,0.052429,0.003349,0.000306,66.702077,25336.124189,0.000000,1.785714,1.000000,0.000000,0.000000,1.000000,0.000000,7.130000
2019.03.11 15:05,25424.310000,25430.310000,25389.710000,25395.710000,8585.000000,0.842105,1.089245,27.200000,-0.020000,0.147783,0.852217,-0.852217,-0.147783,24.971429,25322.614376,25371.202717,25251.957283,1.001071,0.001071,0.099936,0.004709,0.000559,71.000551,25343.646921,0.000000,1.145309,1.000000,1.000000,0.000000,1.000000,0.000000,127.770000
2019.03.12 14:10,25632.880000,25639.880000,25625.280000,25633.280000,4945.000000,0.557692,0.000000,0.000000,-0.020000,0.479452,0.452055,-0.520548,-0.547945,20.214286,25618.130359,25647.959062,25564.660938,1.000000,0.000000,0.097669,0.003252,0.000177,54.990890,25657.487483,0.000000,0.019788,1.000000,0.000000,0.000000,0.000000,0.000000,-22.630000
2019.03.12 19:30,25589.880000,25609.480000,25583.480000,25603.480000,6605.000000,0.297030,-0.863884,-13.600000,-0.020000,0.753846,0.230769,-0.246154,-0.769231,15.742857,25581.660157,25612.378707,25528.481293,0.999469,-0.000531,0.133906,0.003280,0.000214,59.589170,25605.630516,0.000000,0.863884,1.000000,0.000000,0.000000,0.000000,0.000000,-41.330000
2019.03.13 06:45,25534.340000,25538.540000,25529.340000,25530.340000,3805.000000,0.386364,0.441128,3.800000,-0.020000,0.456522,0.891304,-0.543478,-0.108696,8.614286,25511.505661,25527.551124,25489.468876,1.000149,0.000149,-0.030573,0.001493,0.000180,66.481837,25531.853547,0.000000,0.464345,1.000000,0.000000,0.000000,1.000000,0.000000,-49.690000
2019.03.13 09:15,25534.340000,25537.540000,25528.540000,25531.540000,5125.000000,0.109091,0.287533,3.000000,-0.020000,0.355556,0.666667,-0.644444,-0.333333,10.433571,25514.754700,25528.418400,25492.421600,1.000118,0.000118,0.254590,0.001411,0.000149,64.436240,25523.665397,0.000000,0.268364,1.000000,0.000000,0.000000,1.000000,0.000000,205.810000
2019.03.13 21:45,25773.540000,25773.740000,25767.540000,25767.740000,745.000000,0.227273,0.256724,6.000000,-0.020000,0.032258,0.967742,-0.967742,-0.032258,23.371429,25718.938108,25780.289155,25614.650845,1.000233,0.000233,-0.547112,0.006440,0.000419,65.936172,25688.874758,0.000000,0.248166,1.000000,0.000000,0.000000,0.000000,0.000000,-37.300000
